unit_id,source,recording,start_s,end_s,dur_ms,nn_cluster,knn15_dist,outside_envelope,x,y
xc_XC1051322_016,xc,XC1051322,26.30820861678004,26.35464852607709,46,49,9.146,True,0.25,4.83
xc_XC1051322_017,xc,XC1051322,26.49396825396825,26.6507029478458,156,49,5.653,False,1.43,7.55
xc_XC1051322_018,xc,XC1051322,26.679727891156457,26.906122448979588,226,2,6.266,True,5.78,-3.36
xc_XC1051322_019,xc,XC1051322,26.95836734693877,26.981587301587297,23,49,4.2,False,-0.71,6.29
xc_XC1051322_020,xc,XC1051322,27.12090702947845,27.21378684807256,92,-1,5.491,False,3.72,12.3
xc_XC1051322_021,xc,XC1051322,27.32408163265306,27.504036281179136,179,-1,6.181,True,3.15,7.34
xc_XC1051322_022,xc,XC1051322,27.55628117913832,27.782675736961448,226,44,7.653,True,2.79,7.57
xc_XC1051322_023,xc,XC1051322,45.9522902494331,46.02195011337868,69,-1,7.579,True,6.78,7.16
xc_XC1051322_024,xc,XC1051322,46.11482993197278,46.18448979591836,69,-1,8.054,True,6.79,7.91
xc_XC1051322_025,xc,XC1051322,46.23092970521542,46.27736961451247,46,-1,8.246,True,-3.24,6.94
xc_XC1051322_026,xc,XC1051322,46.30058956916099,46.416689342403615,116,21,7.005,True,3.78,11.49
xc_XC1051322_027,xc,XC1051322,46.46312925170067,46.64888888888888,185,18,6.852,True,1.53,15.14
xc_XC1051322_028,xc,XC1051322,46.6895238095238,46.92172335600906,232,27,7.215,True,7.91,7.37
xc_XC1051322_029,xc,XC1051322,46.94494331065759,47.08426303854874,139,10,7.471,True,-2.09,12.11
xc_XC1051322_030,xc,XC1051322,47.13650793650793,47.29324263038548,156,21,8.021,True,3.66,11.87
xc_XC1051322_031,xc,XC1051322,47.34548752834466,47.50222222222221,156,26,8.076,True,5.34,9.19
xc_XC1051322_032,xc,XC1051322,47.59510204081632,47.79827664399093,203,1,8.591,True,9.74,16.6
xc_XC1059091_000,xc,XC1059091,2.4787301587301585,2.5483900226757368,69,40,7.453,True,1.5,6.81
xc_XC1059091_001,xc,XC1059091,2.6412698412698417,2.710929705215419,69,-1,9.325,True,0.7,6.77
xc_XC1059091_002,xc,XC1059091,2.757369614512472,2.803809523809524,46,-1,9.042,True,6.08,11.34
xc_XC1059091_003,xc,XC1059091,2.844444444444445,2.9141043083900224,69,-1,10.076,True,4.34,12.06
xc_XC1059091_004,xc,XC1059091,2.9895691609977324,3.1288888888888886,139,19,7.961,True,2.29,11.85
xc_XC1059091_005,xc,XC1059091,3.1695238095238096,3.378503401360544,208,27,8.324,True,8.22,7.31
xc_XC1059091_006,xc,XC1059091,3.4017233560090703,3.5410430839002265,139,10,8.167,True,-2.23,12.45
xc_XC1059091_007,xc,XC1059091,3.587482993197279,3.7268027210884354,139,-1,8.773,True,5.56,13.53
xc_XC1059091_008,xc,XC1059091,3.773242630385488,3.9357823129251694,162,26,7.686,True,5.28,9.16
xc_XC1059091_009,xc,XC1059091,3.982222222222222,4.208616780045351,226,1,8.184,True,9.82,16.62
xc_XC1059091_010,xc,XC1059091,19.748571428571427,19.81823129251701,69,40,7.5,True,1.12,6.78
xc_XC1059091_011,xc,XC1059091,19.928526077097505,19.998185941043083,69,-1,9.366,True,7.35,8.33
xc_XC1059091_012,xc,XC1059091,20.08526077097505,20.24780045351474,162,-1,9.026,True,5.08,12.13
xc_XC1059091_013,xc,XC1059091,20.271020408163267,20.36390022675737,92,-1,8.826,True,6.36,14.5
xc_XC1059091_014,xc,XC1059091,20.416145124716557,20.578684807256234,162,19,7.285,True,2.25,11.79
xc_XC1059091_015,xc,XC1059091,20.601904761904763,20.828299319727893,226,-1,8.875,True,8.37,7.19
xc_XC1059091_016,xc,XC1059091,20.851519274376415,20.99083900226757,139,10,7.888,True,-2.08,12.47
xc_XC1059091_017,xc,XC1059091,21.0140589569161,21.15337868480725,139,-1,8.939,True,6.42,10.95
xc_XC1059091_018,xc,XC1059091,21.199818594104308,21.36235827664399,162,26,7.24,True,5.33,9.08
xc_XC1059091_019,xc,XC1059091,21.43201814058957,21.66421768707483,232,1,8.532,True,9.79,16.47
xc_XC1059099_000,xc,XC1059099,0.2554195011337868,0.3715192743764172,116,21,5.047,False,3.28,10.91
xc_XC1059099_001,xc,XC1059099,0.8823582766439909,1.0681179138321997,185,-1,8.728,True,3.08,11.66
xc_XC1059099_002,xc,XC1059099,1.9678911564625847,2.0839909297052155,116,33,9.234,True,7.11,10.17
xc_XC1059099_003,xc,XC1059099,2.728344671201814,2.8212244897959184,92,21,5.594,False,3.13,10.93
xc_XC1059099_004,xc,XC1059099,3.4481632653061225,3.633922902494331,185,1,8.893,True,3.94,11.06
xc_XC1059099_005,xc,XC1059099,4.167981859410431,4.27827664399093,110,40,4.983,False,1.22,6.5
xc_XC1059099_006,xc,XC1059099,4.626575963718821,4.725260770975057,98,21,8.333,True,4.08,11.44
xc_XC1059099_007,xc,XC1059099,5.04453514739229,5.131609977324263,87,19,6.055,False,2.18,11.77
xc_XC1059099_008,xc,XC1059099,5.572789115646258,5.7411337868480725,168,28,7.141,True,7.7,8.73
xc_XC1059099_009,xc,XC1059099,6.896326530612245,7.006621315192744,110,21,5.377,False,3.29,10.93
xc_XC1059099_010,xc,XC1059099,7.6335600907029475,7.819319727891156,185,9,9.291,True,4.22,8.97
xc_XC1059099_011,xc,XC1059099,9.346031746031745,9.438911564625853,92,24,7.935,True,3.61,12.72
xc_XC1059099_012,xc,XC1059099,10.00780045351474,10.118095238095238,110,8,5.381,False,1.2,-0.61
xc_XC1089006_000,xc,XC1089006,3.7964625850340137,4.005442176870749,208,8,6.193,True,1.25,-1.44
xc_XC1089006_001,xc,XC1089006,8.347573696145124,8.579773242630385,232,8,5.962,False,1.35,-1.88
xc_XC1089006_002,xc,XC1089006,11.052698412698414,11.215238095238096,162,8,6.107,False,0.71,-1.82
xc_XC1089006_003,xc,XC1089006,14.51827664399093,14.686621315192744,168,8,6.138,True,1.09,-1.85
xc_XC1089006_004,xc,XC1089006,17.182766439909297,17.345306122448978,162,8,6.13,True,0.34,-1.67
xc_XC1089006_005,xc,XC1089006,19.95755102040816,20.114285714285717,156,8,5.918,False,1.1,-1.79
